1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7.6,7.3,8.1,8,7.1,7.9,7,7.9,6,8,7.3,7.9,8.8,7.6,7.2,7.1,8.3,8.3,7.8,8.5,8.1,8.9
7.7,7.5,7.6,7.3,6.8,7.9,7,7.9,7.7,7.8,7.6,7.5,9.1,7.2,7.2,6.8,8.3,9.1,7.7,8.2,9.1,9.2
7.6,7.4,7.6,7.3,6.8,8.1,7.1,7.8,7.9,7.6,7.6,7.9,8.7,7.3,6.9,7.8,8,7.9,7.7,7.7,8.8,8.2
8.1,7.7,7.9,7.1,6.8,8,7.2,8,7.7,7.7,7.6,7.9,9.1,7.3,7,7.7,7.9,8.6,7.8,7.9,9.6,7.8
7.5,7.8,7.9,7,7.5,8.2,7.6,8,8.1,7.8,7.7,7.8,8.3,7.4,6.9,7.8,7.9,7.9,7.4,7.8,8.6,7.8
7.6,7.7,7.7,7.5,7.2,8.1,7.3,7.6,7.9,7.6,7.7,7.7,8.1,7.4,7.2,7.6,7.6,7.8,7.8,8.3,8.3,6.7
7.6,7.5,7,6.8,7.4,8.3,7.1,7.7,8,7.8,7.5,7.5,8.4,7.7,7.2,7.6,7.8,7.4,7.2,8.2,8.4,8.1
7.6,7.7,6.7,7.1,7.7,8.2,6.8,7.8,8.1,7.6,7.8,7.5,8.5,7.7,7.3,7.6,7.7,7.8,7.5,7.7,8,8.4
,8,6.7,7.4,7.4,7.9,7.2,8.1,8.5,7.6,7.9,7.8,7.8,7.6,7.8,7.7,7.8,8.7,7.9,7.9,8.2,9.2
,7.1,6.6,7.9,7.5,8.1,6.9,7.9,8.4,7.8,7.7,7.9,7.7,7.3,7.4,7.8,7.9,7.8,7.5,7.9,8.5,8.7
,8.4,6.7,7.8,7.4,7.8,6.7,7.9,8,7.6,7.7,7.8,6.7,7.4,7.3,7.9,8,7.9,7.7,8.3,9.2,8
,7.6,7.1,8.1,8,7.7,6.7,7.9,6.2,7.8,7.9,7.7,7.8,7.7,6.4,7.7,7.7,8,7.5,7.8,7.7,7.4
,7.5,7.1,7.8,8.6,7.6,8.1,7.9,8.2,7.8,8.5,7.8,7.7,6.7,7.3,7.7,7.7,7.9,7.9,8.6,7.4,
,7.5,7.7,8.1,8,8.2,7.9,7.9,8.2,7.8,8.5,7.9,7.6,7.6,7,7.4,7.5,7.9,7.8,9.1,7.7,
,7.6,7.3,8.1,7.8,7.9,7.5,8,8,7.7,8.1,8.1,7.6,7.4,7.4,7.4,7.5,8.5,8.1,8.4,5.5,
,8.5,6.7,8.3,7.5,7.9,7.6,8,8.1,7.8,7.9,7.6,7.6,7.3,7.5,7.8,7.8,7.8,7.9,8.4,5.9,
,7.5,6.8,7.7,7.5,8.2,7.6,8.1,8.2,8,8.3,7.8,7.2,7.7,7.3,7.9,7.4,7.8,7.8,7.8,6.2,
,8.1,7.3,7.9,7.6,7.8,7.6,7.9,8.8,7.3,8.1,7.9,7.2,7.6,7.3,7.6,7.2,7.7,7.8,8.3,6.3,
,7.5,7.5,7.7,7.6,7.8,7.6,8,8.2,7.7,8.1,8.2,7.6,7.7,7.6,7.4,7.8,8.1,7.9,7.9,7.2,
,7.6,7.3,7.9,7.5,7.7,8.2,8.4,8.2,7.7,8.1,7.9,7.4,7.7,7.3,8.1,7.8,8,7.9,8,6.8,
,7.7,7.4,7.9,7.6,7.1,8.4,8.3,8.8,7.7,8.5,7.3,7.6,7.3,7.4,7.6,8.2,8.3,7.6,7.6,8,
,8,7.4,7.9,7.8,7.3,8.6,8.1,8.2,7.6,8.9,6.9,7.9,7.2,7.2,7.7,8.6,7.8,7.6,8.2,7.7,
,7.6,7.7,8,7.6,7,7.7,8.1,8.3,7.5,6.2,7.4,7.5,7.2,7.1,8,8.2,6.8,7.6,8.2,7.4,
,7.7,7.6,7.8,7.8,7.3,7.8,8.3,7.9,7.9,6.4,7.4,7.7,7.6,7.3,7.9,7.9,6.5,7.9,7.8,7.3,
,7.4,7.4,8.3,7.8,7.5,7.8,8.9,8.3,7.6,7.6,7.2,7.8,8,7.4,7.9,7.9,6.7,7.6,7.3,8.5,
,6.8,7.3,7.8,7.7,7.4,7.7,7,6.2,7.8,7.6,6.7,7.6,7.6,7.4,7.6,8,6.9,7.6,8,9.2,
,8,7.6,8.1,7.6,7.3,7.5,6.7,6,7.8,7.5,7.8,7.3,7.3,7.1,7.7,8.4,7.2,7.9,7.9,8.6,
,7.7,7.7,8.2,7.4,7.2,7.9,6.7,6.3,7.2,7.7,7.8,7.7,7.3,7.3,7.8,8.4,7.8,7.9,7.8,8.7,
,7.3,7.7,8,7.6,7.3,8.2,6.7,7.8,7.6,7.9,8,7.4,7.2,7.8,7.9,8.4,7.2,8,7.8,6.4,
,7.8,7.6,7.9,7.6,7.3,8.1,6.7,7.9,7.7,8.1,7.9,7.5,7,7.4,7.7,8.7,7.5,8,8.6,6.2,
,8.1,7.6,8.3,7.9,7.4,8.2,7.8,7.8,7.9,8,8.2,7.5,7.3,7.4,7.6,7.8,7.3,7.7,8.9,8.8,
,8.3,7.7,8.9,7.9,7.3,7.9,7.9,8,7.7,8.1,8,7.4,7.1,7.1,7.9,8.4,7.4,8.3,8.3,8.5,
,8.1,8,7.9,7.7,7.3,7.7,7.9,7.8,7.8,7.9,8.1,7.2,6.9,7.2,7.8,7.4,7.6,8.4,8.5,9.1,
,7.9,8.4,7.9,7.8,7.5,7.9,7.9,8.4,7.9,8,8.4,7.5,6.9,7.4,7.8,7.6,7.7,9.1,7.7,8.4,
,7.9,7.9,8.3,7.8,7.2,7.9,8.1,6.7,7.9,7.7,8.5,8.1,7.1,7.8,8.2,7.7,7.9,8.5,8.2,7.7,
,7.9,7.7,8.2,7.8,7.4,8,8,6.2,8.1,7.3,8.3,8.2,7.6,7.5,8.2,7.8,7.9,8.8,8,7.9,
,7.9,7.7,6.9,7.8,7.6,8.1,8,6.3,7.9,7.6,8.1,7.6,7.4,7.4,8.6,7.9,7.7,8.2,8.9,6.4,
,8.1,8.1,6.7,,7.2,7.8,6.1,6.7,7.9,7.6,8.2,7.6,7.2,7.9,7.6,7.6,7.9,9.6,8.1,6.7,
,7.7,7.9,6.9,,7.5,7.6,,6.4,7.8,7.6,8.1,7.5,7.2,7.7,7.7,8,7.9,8.6,7.6,8.3,
,6.3,7.6,6.9,,,,,6.5,8.1,7.6,8,8.3,7.1,7.5,7.8,7.8,8,8.7,7.5,8.5,
,6.2,7.3,7,,,,,6.5,8.9,7.6,8.1,7.8,7.7,7.6,7.8,7.9,7.5,8.6,7.7,6.5,
,7.7,8.2,6.7,,,,,6.4,7.7,7.6,8.1,7.5,7.5,7.6,7.7,7.8,7.7,8.6,7.6,8.4,
,7.8,,6.8,,,,,6.7,7.7,7.1,8.3,7.4,7.4,7.7,7.9,8.9,8,8.3,8.3,8.9,
,7.3,,6.5,,,,,6.5,8.2,6.8,8.1,7.6,7.2,7.5,7.8,7.9,7.6,8.6,7.8,8.6,
,,,,,,,,5.5,7.9,6.8,8.1,7.7,7.3,7.5,7.8,7.9,7.7,8.6,8,8.3,
,,,,,,,,,6.5,6.8,8.3,7.8,7.2,7.5,7.8,8,8.1,8.6,8,9,
,,,,,,,,,6.5,7.6,8.1,7.4,7.1,7.5,7.7,8.7,,9.2,7.6,8.7,
,,,,,,,,,,7.6,8.3,7.3,7.1,7.1,7.8,8,,8.6,,9.1,
,,,,,,,,,,7.6,8.5,,6.5,,8.2,,,8.5,,8.9,
,,,,,,,,,,,,,,,8,,,,,,
